排名,mat_idx,depth,wall,Q,cost,life,N,n_theory,n_space,T_sea,t_req,corr_allow_mm,mass_kg,材料,D_plus,D_minus,TOPSIS贴近度
41,5,83.79306355202822,0.0054176933741746465,7050311.908018114,204844.23748035816,29.53272166455157,1020,14100.623816036228,1020.6620247192658,21.286618939354753,0.0030550756410105207,2.3626177331641256,2716.91481588762,T2 紫铜,0.045809383602334594,0.06265009267134816,0.577635950530124
42,5,84.21446570032214,0.00525138259472399,7053921.24613231,199916.82529532982,27.26178411541211,1021,14107.842492264619,1021.383914895422,21.260475096121173,0.0030704398654910216,2.1809427292329686,2644.452871990144,T2 紫铜,0.04736822872800035,0.06149830718865924,0.5648963354151172
43,5,71.94841462234521,0.00475147084685109,6947091.4949336,185094.30815641067,26.60310444477032,1023,13894.182989867199,1023.5554867279966,22.03422989893717,0.0026232224912694645,2.1282483555816256,2426.474678770745,T2 紫铜,0.04643421879845906,0.059160916934148905,0.5602617632308219
44,5,85.28423456615556,0.005180680932716341,7063064.442894877,197821.52833814776,25.890469284612845,1021,14126.128885789754,1021.6908862289986,21.19424668118941,0.0031094433899473135,2.0712375427690275,2613.639681443349,T2 紫铜,0.048508248332523256,0.061025824740140115,0.5571401028760835
45,1,100.0,0.004,5160101.678354176,48441.17750271392,50.0,1026,9977.011818331946,1026.8244686808027,20.30362060856164,0.002430651187186144,1.569348812813856,1889.8098335142613,304 不锈钢,0.0581900489349394,0.073137919503488,0.5569104614435456
46,0,66.62374152373006,0.005582768332978843,6670125.033101216,38766.93916322995,16.976070999512633,1019,13340.250066202432,1019.9457697479023,22.37834662475597,0.0030363576830519487,2.546410649926895,848.7685983286343,6061 铝合金,0.05072352128422154,0.06362224110301459,0.5564022642794189
47,0,65.24600378555031,0.005478246287465138,6658180.188603843,38462.15242837714,16.69785734637182,1020,13316.360377207686,1020.3992562113335,22.468196915538893,0.0029735676855093653,2.5046786019557725,834.9146558353245,6061 铝合金,0.05121220613984153,0.06336803316565069,0.5530450411846299
48,5,99.2229026470033,0.005600694171123299,7179645.145708532,210263.97565328353,24.788127242479923,1019,14359.290291417065,1019.8680063588247,20.349700156400104,0.0036176439917249056,1.983050179398394,2796.616847842405,T2 紫铜,0.05123268041416818,0.06295403501759574,0.5513253864913561
49,0,5.968867350599007,0.004024710496997616,6102320.064835218,34216.094411618884,25.017873999331176,1026,12204.640129670435,1026.7168862567269,26.64996163979102,0.0002720293970979392,3.7526810998996765,641.9120187099493,6061 铝合金,0.04807500771214671,0.05802476247120911,0.5468886725290157
50,0,8.966918560159202,0.004,6132391.546602465,34143.78862433361,23.942235261210115,1026,12264.783093204931,1026.8244686808027,26.42363381601621,0.0004086647108184831,3.591335289181517,638.6253920151643,6061 铝合金,0.04875161631688483,0.057864943420716006,0.54273879745445
